"pt_lonlattext"
"POINT(-73.9714229 40.675755)"
"POINT(-73.9719039 40.676413)"
"POINT(-73.9765956 40.6821348)"
"POINT(-73.9736869 40.677078)"
"POINT(-73.9727187 40.6775278)"
"POINT(-73.9723541 40.6774458)"
"POINT(-73.9732489 40.677716)"
"POINT(-73.973056 40.6779985)"
"POINT(-73.9735419 40.678679)"
"POINT(-73.9751466 40.6808587)"
"POINT(-73.9746919 40.680266)"
"POINT(-73.9743179 40.6797527)"
"POINT(-73.9744977 40.6807523)"
"POINT(-73.9758339 40.681836)"
"POINT(-73.9742371 40.6814947)"
"POINT(-73.9713963 40.6801002)"
"POINT(-73.9711189 40.68085)"
"POINT(-73.970424 40.6726464)"
"POINT(-73.9700239 40.6726402)"
"POINT(-73.9696511 40.6726389)"
"POINT(-73.9692257 40.672801)"
"POINT(-73.9696882 40.6753667)"
"POINT(-73.9694979 40.675906)"
"POINT(-73.9691779 40.676785)"
"POINT(-73.9625654 40.6716419)"
"POINT(-73.9685419 40.678543)"
"POINT(-73.9682285 40.6794308)"
"POINT(-73.9706323 40.6823535)"
"POINT(-73.9687524 40.6819514)"
"POINT(-73.9687079 40.6820844)"
"POINT(-73.9674934 40.6816834)"
"POINT(-73.9675434 40.6818379)"
"POINT(-73.9666032 40.6815034)"
"POINT(-73.9665578 40.6816364)"
"POINT(-73.9645298 40.6810714)"
"POINT(-73.9643633 40.6810374)"
"POINT(-73.964397 40.6811863)"
"POINT(-73.9614151 40.6804082)"
"POINT(-73.9613192 40.6805389)"
"POINT(-73.9783994 40.6844242)"
"POINT(-73.9782779 40.6843767)"
"POINT(-73.9780927 40.6849516)"
"POINT(-73.9774569 40.684052)"
"POINT(-73.9798124 40.686641)"
"POINT(-73.9793576 40.6866757)"
"POINT(-73.9798409 40.687345)"
"POINT(-73.9763319 40.6825341)"
"POINT(-73.9759289 40.683505)"
"POINT(-73.9738112 40.6829979)"
"POINT(-73.9737674 40.6831473)"
"POINT(-73.9718487 40.6826029)"
"POINT(-73.9717959 40.6827347)"
"POINT(-73.9808693 40.688872)"
"POINT(-73.9810498 40.6889411)"
"POINT(-73.9813795 40.6899256)"
"POINT(-73.9815403 40.6899292)"
"POINT(-73.9738549 40.6933007)"
"POINT(-73.9728509 40.6932527)"
"POINT(-73.9718719 40.69321)"
